artist,artist_id,artist_pop,artist_genres,album,album_id,track_name,track_id,track_pop,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
SYML,6AyATGg7mDgBlZ4N5uNog0,74,[pop],Chariot,3R9K985Qq28VqqzeV65bZ0,Chariot,1ZHboJHdP97xyCaQWuP9h6,50,0.516,0.915,2,-5.846,1,0.0545,0.00328,0.0202,0.0937,0.556,168.027,200693,4,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic)
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0,[],Indie / Rock / Alt Compilation: March 2023,2jYAyFnU1j39P7dQ5vhE7u,Embrace It,6bGS1VVUZk5MyQ9pYw2a8Q,11,0.572,0.885,2,-5.913,1,0.0473,0.000924,0,0.0504,0.444,128.988,206047,4,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic)
Boo Seeka,1SFz3S9eSUTc49ysstadiO,53,"[aussietronica, australian indie, australian pop]",Stories,5C6jaEd7bW1pHkpEsXmAO7,Stories,0CWDijxzzTvMlp4c4U2LIS,46,0.815,0.704,6,-5.061,0,0.0453,0.00962,8.81E-05,0.115,0.949,127.981,164074,4,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic)
Quiet Houses,6oeIyvCenamQzsTMYnuZTC,31,[],Hot and Clumsy,4mVZsDCMoexn0hrJxFy9f6,Hot and Clumsy,50aFetaKwC3pKTLyUWh7UZ,34,0.48,0.706,3,-9.73,1,0.0395,0.007,0.0133,0.31,0.782,160.036,271600,4,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic)
Juliana Madrid,6RhkgeqhRai3jy4ULSlxFx,31,[],Madonna,2uNNQws3ix4ZyVxueGd2un,Madonna,1eCdsyHZVqHSi5jhwc4TLs,35,0.618,0.763,5,-6.412,0,0.0347,0.529,0,0.0695,0.475,104.983,192133,4,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic)
Friends At The Falls,5RASv130lmR8GyP0EcQLjJ,35,[hopebeat],Cheer Up Hollywood,4cJmmOTKlM6bQLRJq71dnh,Cheer Up Hollywood,5vC6a7VQFR4tl5O4sncf56,31,0.274,0.802,2,-5.717,1,0.103,0.0187,0,0.331,0.33,172.514,200480,3,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic)
Trenton,3An6dgg8rJQ1stIMvlyGOk,22,[],Rise Above,43RGe15AheVwme5XRSCJVT,Rise Above,4598xZGJD1sa8WPnPOPEJ0,17,0.49,0.754,2,-7.735,1,0.035,0.0625,4.58E-06,0.0957,0.251,134.984,208444,4,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic)
Lexie Carroll,0j3JsMUkjmRIqTi1xQ5dp0,41,[],violet,3UnbnPEYcvY0gwycGkbMH4,violet,3ChrPssbVddcgfmH8X3qeV,47,0.641,0.895,0,-6.861,1,0.0374,0.149,0.00107,0.118,0.587,134.998,178113,4,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic)
BROCKHOFF,5ZeRq1tqf4t8fcdFdjmlQZ,24,[],Sharks,6f2DJDgxBufS0JVEcHUDhL,Sharks,4QZa3y2uKeSl92MkYKZLlf,28,0.499,0.806,2,-7.753,1,0.0285,7.76E-05,0.679,0.0665,0.61,141.966,168970,4,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic)
Billy Otto,68K7z2GTeiBnNteSfDGOzH,32,[louvor],The Sound,50jRcIAV0HWGR0AZVPTTFa,The Sound,0bFVyRatUa939tKUNu7Ttv,30,0.643,0.865,7,-5.425,1,0.0396,0.0352,2.42E-05,0.169,0.682,105.007,192015,4,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic)
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0,[],Indie / Rock / Alt Compilation: March 2023,2jYAyFnU1j39P7dQ5vhE7u,Martyr,0nADxzVersmY7rZacvO6CA,9,0.559,0.511,2,-5.115,1,0.026,0.00876,0,0.0678,0.432,72.016,218616,4,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic)
Mcclendon,6ZZrclkv0EliJYU6MlRkzD,15,[],The Garden,2ph6Fu2boXXJBL7d3YFWGW,The Garden,1SuqZIgWaKFsQHZoqAYPph,25,0.518,0.822,11,-6.927,0,0.0518,0.0328,0.0191,0.279,0.755,77.439,194187,4,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic)
Michigander,0oL26Dn9y761yfJgNb3vfu,50,"[indie folk, indie rock, michigan indie, modern rock, stomp and holler]",Superglue,39IcaBkeuTzJQcNJ5Hi9CM,Superglue,5tTpyVtQuj1j8ZBnjn9WPC,45,0.527,0.882,5,-4.24,1,0.0491,0.00154,3.13E-05,0.125,0.336,139.004,250363,4,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic)
