name,links,playlist_uris,user
Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic),https://open.spotify.com/playlist/30uvudTS1E54LdMnpg3ac1,30uvudTS1E54LdMnpg3ac1,alexrainbirdMusic
Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic),https://open.spotify.com/playlist/3xXory7XEbpSDsA88qeMM7,3xXory7XEbpSDsA88qeMM7,alexrainbirdMusic
Acoustic Breakfast 🥣 - An Indie/Pop/Folk Playlist to start your day,https://open.spotify.com/playlist/54Rz7lKoPoVBsSxjlHPCmY,54Rz7lKoPoVBsSxjlHPCmY,alexrainbirdMusic
alexrainbirdMusic 2023,https://open.spotify.com/playlist/51rZ4Mf9G2mw6Vaux8sxQb,51rZ4Mf9G2mw6Vaux8sxQb,alexrainbirdMusic
Best of alexrainbirdMusic 2022 🎉 - An Indie/Pop/Folk/Rock Playlist,https://open.spotify.com/playlist/50xyeCsfk2qjMzvx8hrUqu,50xyeCsfk2qjMzvx8hrUqu,alexrainbirdMusic
Indie/Indie-Folk Compilation - Winter 2022/2023 ❄️ (alexrainbirdMusic),https://open.spotify.com/playlist/6ngURJuefWfFCkK38WXf21,6ngURJuefWfFCkK38WXf21,alexrainbirdMusic
"The Indie Chart ⭐ OUR TOP 10 SONGS RIGHT NOW ⭐ | alexrainbirdMusic (Pop, Folk, Rock)",https://open.spotify.com/playlist/2yIzliXybsuJJrY4XCaWr8,2yIzliXybsuJJrY4XCaWr8,alexrainbirdMusic
Beth's Indie Favourites! 💃 | alexrainbirdMusic,https://open.spotify.com/playlist/4uiMqQZuGXZO7ihXmhIjfl,4uiMqQZuGXZO7ihXmhIjfl,alexrainbirdMusic
alexrainbirdRecords - The Complete Catalogue 💿,https://open.spotify.com/playlist/0C2nvZF5sMGn4bRBJdxB70,0C2nvZF5sMGn4bRBJdxB70,alexrainbirdMusic
Indie Pop 🎤 |  alexrainbirdMusic,https://open.spotify.com/playlist/0Zyvu43tTAv7Q3tnZf4Cyu,0Zyvu43tTAv7Q3tnZf4Cyu,alexrainbirdMusic
Folk/Acoustic 🪕 |  alexrainbirdMusic,https://open.spotify.com/playlist/58Q756mnrHELsLqmSCYOrZ,58Q756mnrHELsLqmSCYOrZ,alexrainbirdMusic
Indie Rock/Alt 🎸 | alexrainbirdMusic,https://open.spotify.com/playlist/2Qa93cI7K3stz0ujPquIr2,2Qa93cI7K3stz0ujPquIr2,alexrainbirdMusic
"Instrumental Indie-Folk 🪕 - An Acoustic/Chill Playlist for study, relax and focus",https://open.spotify.com/playlist/1Zgo4kCR0T1lks9AS8mvKg,1Zgo4kCR0T1lks9AS8mvKg,alexrainbirdMusic
"Wanderlust - Music for Travelling 🌲 | alexrainbirdMusic (Indie, Folk, Pop)",https://open.spotify.com/playlist/5e90SwBefJDi2NgthtSMSy,5e90SwBefJDi2NgthtSMSy,alexrainbirdMusic
"Mountains and Oceans ⛰️🌊 | alexrainbirdMusic (Indie, Folk, Pop, Acoustic)",https://open.spotify.com/playlist/4Dqb2qA5IHM7YB95wGqXKB,4Dqb2qA5IHM7YB95wGqXKB,alexrainbirdMusic
"Happy Indie 😃 | alexrainbirdMusic (Folk, Pop)",https://open.spotify.com/playlist/2WSQOTscbCoNpovNL6J35n,2WSQOTscbCoNpovNL6J35n,alexrainbirdMusic
"Sad Indie Songs 😢 | alexrainbirdMusic (Folk, Pop, Chill)",https://open.spotify.com/playlist/1Ll1zUS1f64qGsWdRJtRRQ,1Ll1zUS1f64qGsWdRJtRRQ,alexrainbirdMusic
night drive. 🌃 - An Indie/Alternative Playlist,https://open.spotify.com/playlist/6qREutGj8Vnrv0h3d8SJ0s,6qREutGj8Vnrv0h3d8SJ0s,alexrainbirdMusic
"Indie For Sleeping 😴 | alexrainbirdMusic (Folk, Acoustic, Chill)",https://open.spotify.com/playlist/4KgxcudfTYwfm0PdWt1cG3,4KgxcudfTYwfm0PdWt1cG3,alexrainbirdMusic
"Late Night Indie 🌌 | alexrainbirdMusic (Folk, Pop, Chill)",https://open.spotify.com/playlist/67qVLn3HXd3zKEJTm6soMp,67qVLn3HXd3zKEJTm6soMp,alexrainbirdMusic
"Morning Indie ⏰☕ | alexrainbirdMusic (Folk, Acoustic, Chill)",https://open.spotify.com/playlist/2Koc3XoPUvMx53f9szcx9p,2Koc3XoPUvMx53f9szcx9p,alexrainbirdMusic
Our Favourite Australian Songwriters 🇦🇺 |  alexrainbirdMusic,https://open.spotify.com/playlist/252D4hCKfLaSvDwadoeThs,252D4hCKfLaSvDwadoeThs,alexrainbirdMusic
Our Favourite Canadian Songwriters 🇨🇦 |  alexrainbirdMusic,https://open.spotify.com/playlist/2VW0sPFBoKJaVFBMHGb425,2VW0sPFBoKJaVFBMHGb425,alexrainbirdMusic
"Autumn/Fall Indie 🍂 | alexrainbirdMusic (Folk, Pop, Acoustic)",https://open.spotify.com/playlist/0OUn84QARCLRe9xyUHjIBh,0OUn84QARCLRe9xyUHjIBh,alexrainbirdMusic
"Winter Indie ❄️ | alexrainbirdMusic (Folk, Chill, Pop, Acoustic)",https://open.spotify.com/playlist/3iPh55My8E1XsNjsuA5LvE,3iPh55My8E1XsNjsuA5LvE,alexrainbirdMusic
"Ultimate Indie Christmas 🎅 | alexrainbirdMusic (Pop, Folk, Acoustic)",https://open.spotify.com/playlist/0YNwdptzrgUJ5VDTCSvqdg,0YNwdptzrgUJ5VDTCSvqdg,alexrainbirdMusic
Indie/Rock/Alt Compilation - January 2023 (alexrainbirdMusic),https://open.spotify.com/playlist/7GGfu8eaOmRIsvvri7TmAm,7GGfu8eaOmRIsvvri7TmAm,alexrainbirdMusic
Indie/Pop/Folk Compilation - January 2023 (alexrainbirdMusic),https://open.spotify.com/playlist/6iS5KJtKC9gtf8DesdmZgt,6iS5KJtKC9gtf8DesdmZgt,alexrainbirdMusic
alexrainbirdMusic 2022,https://open.spotify.com/playlist/483fBRfHGh2rgumYW9ZR48,483fBRfHGh2rgumYW9ZR48,alexrainbirdMusic
Indie Christmas 2022 🎄 - A Festive Folk/Pop Playlist,https://open.spotify.com/playlist/7LUllTQckv5fDQwI1wRMLM,7LUllTQckv5fDQwI1wRMLM,alexrainbirdMusic
Indie/Rock/Alt Compilation - December 2022 (alexrainbirdMusic),https://open.spotify.com/playlist/6x7mNeoN8KvxilL6Mo0FIo,6x7mNeoN8KvxilL6Mo0FIo,alexrainbirdMusic
Indie/Pop/Folk Compilation - December 2022 (alexrainbirdMusic),https://open.spotify.com/playlist/4CZtV5apcq1Y4GRr2EU1eA,4CZtV5apcq1Y4GRr2EU1eA,alexrainbirdMusic
Warm & Cozy ✨ - A Folk/Acoustic/Chill Playlist | Vol. 2,https://open.spotify.com/playlist/5stSErg1RhSByPHTtC2mqU,5stSErg1RhSByPHTtC2mqU,alexrainbirdMusic
Indie/Rock/Alt Compilation - November 2022 (alexrainbirdMusic),https://open.spotify.com/playlist/1bDE7wnXmWaQnxdJHIhTuz,1bDE7wnXmWaQnxdJHIhTuz,alexrainbirdMusic
Indie/Pop/Folk Compilation - November 2022 (alexrainbirdMusic),https://open.spotify.com/playlist/4LBRZ1gtZNKnW5q5McD1em,4LBRZ1gtZNKnW5q5McD1em,alexrainbirdMusic
Indie Halloween 2022 🎃 - A Dark & Spooky Indie/Folk/Alternative Playlist,https://open.spotify.com/playlist/1xerNypVavfaXpnVjPhRBh,1xerNypVavfaXpnVjPhRBh,alexrainbirdMusic
Pumpkin Spice 🎃☕ - A Cozy Indie/Folk/Acoustic Playlist,https://open.spotify.com/playlist/178EKH7x8aHvbb8MpYCZs2,178EKH7x8aHvbb8MpYCZs2,alexrainbirdMusic
Indie/Rock/Alt Compilation - October 2022 (alexrainbirdMusic),https://open.spotify.com/playlist/2qDUu9hXsDWvihmhIyGbLZ,2qDUu9hXsDWvihmhIyGbLZ,alexrainbirdMusic
Indie/Pop/Folk Compilation - October 2022 (alexrainbirdMusic),https://open.spotify.com/playlist/0QRBDaeLZtQjKyAA9JOYz0,0QRBDaeLZtQjKyAA9JOYz0,alexrainbirdMusic
Indie/Indie-Folk Compilation - Autumn/Fall 2022 🍂 (alexrainbirdMusic),https://open.spotify.com/playlist/2OT2dAFeP0ygULsxPYij2n,2OT2dAFeP0ygULsxPYij2n,alexrainbirdMusic
Indie/Rock/Alt Compilation - September 2022 (alexrainbirdMusic),https://open.spotify.com/playlist/5sPnmxMeI8wFer6IzKQNqy,5sPnmxMeI8wFer6IzKQNqy,alexrainbirdMusic
Indie/Pop/Folk Compilation - September 2022 (alexrainbirdMusic),https://open.spotify.com/playlist/4JETEKcQZJpfdUCRE8hooZ,4JETEKcQZJpfdUCRE8hooZ,alexrainbirdMusic
Lost In The Wilderness ↟ - An Indie/Folk/Alternative Playlist,https://open.spotify.com/playlist/4IDZ47xyvOfmSseRYmbg4U,4IDZ47xyvOfmSseRYmbg4U,alexrainbirdMusic
Indie/Rock/Alt Compilation - August 2022 (alexrainbirdMusic),https://open.spotify.com/playlist/12wuSp6BVW7hdfahKufz21,12wuSp6BVW7hdfahKufz21,alexrainbirdMusic
Indie/Pop/Folk Compilation - August 2022 (alexrainbirdMusic),https://open.spotify.com/playlist/1BzH8gu9zEpDjYPVd6ZrXs,1BzH8gu9zEpDjYPVd6ZrXs,alexrainbirdMusic
Road Trip 🚐 - An Indie/Pop/Rock Playlist | Vol. 4,https://open.spotify.com/playlist/0b4ufmcU2h5UxRUV2oux90,0b4ufmcU2h5UxRUV2oux90,alexrainbirdMusic
Indie/Rock/Alt Compilation - July 2022 (alexrainbirdMusic),https://open.spotify.com/playlist/7wI1PEyAYB5qsXDpSl354l,7wI1PEyAYB5qsXDpSl354l,alexrainbirdMusic
Indie/Pop/Folk Compilation - July 2022 (alexrainbirdMusic),https://open.spotify.com/playlist/092OQpJ2oUQCBVhHV9FJk3,092OQpJ2oUQCBVhHV9FJk3,alexrainbirdMusic
Indie/Indie-Folk Compilation - Summer 2022 ☀️ (alexrainbirdMusic),https://open.spotify.com/playlist/63IMD9UstCO34CGStaIbJv,63IMD9UstCO34CGStaIbJv,alexrainbirdMusic
Indie/Rock/Alt Compilation - June 2022 (alexrainbirdMusic),https://open.spotify.com/playlist/6TUL6k50VY67UA28QIbJ4P,6TUL6k50VY67UA28QIbJ4P,alexrainbirdMusic
Indie/Pop/Folk Compilation - June 2022 (alexrainbirdMusic),https://open.spotify.com/playlist/0ozx2zG5ONmZaK3WLZLiSZ,0ozx2zG5ONmZaK3WLZLiSZ,alexrainbirdMusic
Under The Stars 🌌 - A Celestial Folk/Pop Playlist,https://open.spotify.com/playlist/59Iy4kuvXLP4JiLwTiE44F,59Iy4kuvXLP4JiLwTiE44F,alexrainbirdMusic
Indie/Rock/Alt Compilation - May 2022 (alexrainbirdMusic),https://open.spotify.com/playlist/6qOcutgkBxOprswoBrhQAa,6qOcutgkBxOprswoBrhQAa,alexrainbirdMusic
Indie/Pop/Folk Compilation - May 2022 (alexrainbirdMusic),https://open.spotify.com/playlist/1mJjk8QAaIRwchff3u47Ev,1mJjk8QAaIRwchff3u47Ev,alexrainbirdMusic
Calm Places 🕯️ - A Safe & Comforting Folk/Pop Playlist,https://open.spotify.com/playlist/5yVLWs8pg2MytDkWIct5Ul,5yVLWs8pg2MytDkWIct5Ul,alexrainbirdMusic
Into The Woods 🌲 - A Mysterious Folk/Pop Playlist,https://open.spotify.com/playlist/199U4KJceMx4kISwnJ3roK,199U4KJceMx4kISwnJ3roK,alexrainbirdMusic
Indie/Rock/Alt Compilation - April 2022 (alexrainbirdMusic),https://open.spotify.com/playlist/0RsoM2ZW27StzVSdDfuzwF,0RsoM2ZW27StzVSdDfuzwF,alexrainbirdMusic
Indie/Pop/Folk Compilation - April 2022 (alexrainbirdMusic),https://open.spotify.com/playlist/2ph6YSPj5cFFucVApYBvDd,2ph6YSPj5cFFucVApYBvDd,alexrainbirdMusic
Indie/Indie-Folk Compilation - Spring 2022 🌼 (alexrainbirdMusic),https://open.spotify.com/playlist/2HotOvxGplA5XnKcggbIEI,2HotOvxGplA5XnKcggbIEI,alexrainbirdMusic
Indie/Rock/Alt Compilation - March 2022 (alexrainbirdMusic),https://open.spotify.com/playlist/5gaWsLLnlZpHuEK2Evfg7d,5gaWsLLnlZpHuEK2Evfg7d,alexrainbirdMusic
Indie/Pop/Folk Compilation - March 2022 (alexrainbirdMusic),https://open.spotify.com/playlist/4mTWD8JdKH4dXNjpaZz8Sp,4mTWD8JdKH4dXNjpaZz8Sp,alexrainbirdMusic
Read & Relax 📖 - A Peaceful Folk/Pop Playlist,https://open.spotify.com/playlist/5EasZ5mzMZs02fNaWQr3TH,5EasZ5mzMZs02fNaWQr3TH,alexrainbirdMusic
Indie/Rock/Alt Compilation - February 2022 (alexrainbirdMusic),https://open.spotify.com/playlist/1LR1YFYu7cTNBG2NGdkwnQ,1LR1YFYu7cTNBG2NGdkwnQ,alexrainbirdMusic
Indie/Pop/Folk Compilation - February 2022 (alexrainbirdMusic),https://open.spotify.com/playlist/0qqRlV3tadPTmuneYUvv8Y,0qqRlV3tadPTmuneYUvv8Y,alexrainbirdMusic
