artist,artist_id,artist_pop,artist_genres,album,album_id,track_name,track_id,track_pop,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
Tigercub,6ekYAO2D1JkI58CF4uRRqw,47,"[brighton indie, modern alternative rock, modern rock]",Play My Favourite Song,48kUWLzmZrvwHqYrpOkBat,Play My Favourite Song,4uBs8miGwBykRYjrbAO5kV,42,0.509,0.767,8,-5.686,1,0.0579,0.00197,0.00633,0.265,0.523,95.961,155603,4,New Alt-Rock Mixtape
Crawlers,2xtmoxSauQs0TQFUoHmbfy,52,"[indie pop, warrington indie]",Crawlers - EP,4wePwIhGnXxJ3tRFAusMAE,Come Over (Again),4PDJDIdWxNN1AlnbrKkoPf,60,0.498,0.713,2,-7.738,1,0.0278,0.00393,0,0.0675,0.235,93.018,254419,4,New Alt-Rock Mixtape
The Luka State,6DaXEbr3LdLNcui8pZf6AF,44,"[english indie rock, modern alternative rock, modern rock]",More Than This,4xENjLbcy7IdEHA3JQzYRx,More Than This,1F3VhVtaMqUqKhXdpA3itF,36,0.443,0.979,0,-1.341,0,0.13,2.58E-05,0.00332,0.298,0.333,112.307,182100,4,New Alt-Rock Mixtape
The Backseat Lovers,6p2HnfM955TI1bX34dkLnI,70,"[indie pop, modern rock, slc indie]",When We Were Friends,3TSMSh5dai7WEnEGOoMXBZ,Kilby Girl,1170VohRSx6GwE6QDCHPPH,73,0.329,0.444,1,-9.973,1,0.0417,0.0578,0.0352,0.113,0.225,162.279,282206,4,New Alt-Rock Mixtape
Fleshwater,6P5ccCJCe8A4s9tDSTNFzF,52,"[dreamo, grungegaze]",We're Not Here to Be Loved,0hm7PiBu72tRliLqLfiKy1,Kiss the Ladder,41QBT1Al5RQ9u9UIHOuXnj,56,0.122,0.988,4,-3.41,1,0.135,8.96E-06,0.000324,0.403,0.25,174.248,77467,4,New Alt-Rock Mixtape
The Snuts,4AzAfQNuAyKOFG4DZMsdAo,57,"[britpop revival, modern alternative rock, modern rock, rock, scottish indie rock]",Burn The Empire,4aufPz4ZGcxWHNt2lp2lTf,Hallelujah Moment,1UOkwtqARzu9QW4IMQjeO0,55,0.679,0.89,2,-4.371,1,0.0763,0.116,0,0.344,0.849,112.951,135160,4,New Alt-Rock Mixtape
Inhaler,6lyMYewq2SuTFIXgiv7OxH,64,"[dublin indie, modern alternative rock, modern rock, rock]",These Are The Days,2cP0n7ZCTCH4MDgirIWZmz,These Are The Days,6fyCVdU5lJT9ErO9QicFWC,55,0.51,0.955,4,-5.64,1,0.0455,0.00935,0.000149,0.642,0.761,140.055,222297,4,New Alt-Rock Mixtape
Dehd,6yzuBFtT6dK2aQMZJZtcB1,52,"[indie pop, indie rock, surf punk]",Blue Skies,1vzqa9wcGcflSTyVbQPRFE,Bad Love,0atclF6Pp5MffEEi7CSFlE,54,0.623,0.766,4,-7.445,1,0.0531,0.103,0.0193,0.158,0.55,153.15,150824,4,New Alt-Rock Mixtape
Reignwolf,66YGDwn22fjphzqGCSIbbK,57,"[garage rock, modern alternative rock, modern blues rock, modern hard rock, modern rock, rock, saskatchewan indie]",Hear Me Out,6jPxwvFm0kcZzflrloQPuK,Black and Red,1DJVvKIX6niMWGUitYkM1f,54,0.368,0.921,8,-4.897,0,0.0919,0.000716,0.0449,0.295,0.451,119.113,219523,3,New Alt-Rock Mixtape
Bully,34LdbFt5sVXKTJOzf1iExQ,45,"[bubblegrunge, indie punk, indie rock]",Lose You (feat. Soccer Mommy),5Ctzgdf3fjqxUV8PvrDPHf,Lose You (feat. Soccer Mommy),0KmC4jFH8axcJqKvOTBXeX,53,0.376,0.831,9,-6.543,1,0.0826,0.0417,0.00764,0.0678,0.289,168.026,175387,4,New Alt-Rock Mixtape
Liam Gallagher,6sN51vEARnAAdBw1IKZ8Q9,60,"[britpop, britpop revival, modern rock, rock, solo wave]",Everything's Electric,2Dqayfhl6Eow6nsHBXTXM3,Everything's Electric,63JU4kHsgytIKkSM4tedme,53,0.409,0.969,1,-2.423,0,0.0706,0.00435,0.000124,0.0602,0.5,166.02,216860,4,New Alt-Rock Mixtape
