name,links,playlist_uris,user
New Alt-Rock Mixtape,https://open.spotify.com/playlist/37i9dQZF1DXa6YOhGMjjgx?si=7308b7fa62e444a5,37i9dQZF1DXa6YOhGMjjgx,Spotify
alt.indie rising,https://open.spotify.com/playlist/5NFLDpX0KpIbluIIp37AJy?si=7a45762221534407g,5NFLDpX0KpIbluIIp37AJy,Matthewy Keys
Alternative Rock's Most Precious Gems,https://open.spotify.com/playlist/37i9dQZF1DXcKHVXMYcCuJ?si=fbd9fe3cc9b94d1e,37i9dQZF1DXcKHVXMYcCuJ,Spotify
All New Indie,https://open.spotify.com/playlist/37i9dQZF1DXdbXrPNafg9d?si=c639daef9dfd4528,37i9dQZF1DXdbXrPNafg9d,Spotify
Best Rising Alternative Rock,https://open.spotify.com/playlist/5ZOmKNhdc1Nv94zwScDs59?si=307345dc00314082,5ZOmKNhdc1Nv94zwScDs59,iamlrene
Indie Rising,https://open.spotify.com/playlist/2Jn2Fv8hWUDchcSyeovjjo?si=f72900661a134aa6,2Jn2Fv8hWUDchcSyeovjjo,Indie Music Playlists
Roots Rising,https://open.spotify.com/playlist/37i9dQZF1DWYV7OOaGhoH0?si=49c4f54408cd4007,37i9dQZF1DWYV7OOaGhoH0,Spotify
Folk Rizing,https://open.spotify.com/playlist/6tkwPMzaA1qzCEwvdnpaJt?si=16eedf7f80304bcb,6tkwPMzaA1qzCEwvdnpaJt,Rizing Playlists
Indie Pop. Coffee House. Aesthetic. Chillwave. Alternative R&B. Retro,https://open.spotify.com/playlist/3AKGTEanSdOnQEWOVTMghD?si=a9ac677efdce4b2c,3AKGTEanSdOnQEWOVTMghD,Not Your Bae
indie pop,https://open.spotify.com/playlist/6pVBhLF5YLEh7ytCaF3rxo?si=29cbdd7836e549db,6pVBhLF5YLEh7ytCaF3rxo,Ian
