artist,artist_id,artist_pop,artist_genres,album,album_id,track_name,track_id,track_pop,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist,user,artists_song
SYML,6AyATGg7mDgBlZ4N5uNog0,74.0,[pop],Chariot,3R9K985Qq28VqqzeV65bZ0,Chariot,1ZHboJHdP97xyCaQWuP9h6,50.0,0.516,0.915,2.0,-5.846,1.0,0.0545,0.00328,0.0202,0.0937,0.556,168.027,200693.0,4.0,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,SYMLChariot
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0.0,[unknown],Indie / Rock / Alt Compilation: March 2023,2jYAyFnU1j39P7dQ5vhE7u,Embrace It,6bGS1VVUZk5MyQ9pYw2a8Q,11.0,0.572,0.885,2.0,-5.913,1.0,0.0473,0.000924,0.0,0.0504,0.444,128.988,206047.0,4.0,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Various ArtistsEmbrace It
Boo Seeka,1SFz3S9eSUTc49ysstadiO,53.0,"[aussietronica, australian indie, australian pop]",Stories,5C6jaEd7bW1pHkpEsXmAO7,Stories,0CWDijxzzTvMlp4c4U2LIS,46.0,0.815,0.704,6.0,-5.061,0.0,0.0453,0.00962,8.81e-05,0.115,0.949,127.981,164074.0,4.0,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Boo SeekaStories
Quiet Houses,6oeIyvCenamQzsTMYnuZTC,31.0,[unknown],Hot and Clumsy,4mVZsDCMoexn0hrJxFy9f6,Hot and Clumsy,50aFetaKwC3pKTLyUWh7UZ,34.0,0.48,0.706,3.0,-9.73,1.0,0.0395,0.007,0.0133,0.31,0.782,160.036,271600.0,4.0,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Quiet HousesHot and Clumsy
Juliana Madrid,6RhkgeqhRai3jy4ULSlxFx,31.0,[unknown],Madonna,2uNNQws3ix4ZyVxueGd2un,Madonna,1eCdsyHZVqHSi5jhwc4TLs,35.0,0.618,0.763,5.0,-6.412,0.0,0.0347,0.529,0.0,0.0695,0.475,104.983,192133.0,4.0,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Juliana MadridMadonna
Friends At The Falls,5RASv130lmR8GyP0EcQLjJ,35.0,[hopebeat],Cheer Up Hollywood,4cJmmOTKlM6bQLRJq71dnh,Cheer Up Hollywood,5vC6a7VQFR4tl5O4sncf56,31.0,0.274,0.802,2.0,-5.717,1.0,0.103,0.0187,0.0,0.331,0.33,172.514,200480.0,3.0,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Friends At The FallsCheer Up Hollywood
Trenton,3An6dgg8rJQ1stIMvlyGOk,22.0,[unknown],Rise Above,43RGe15AheVwme5XRSCJVT,Rise Above,4598xZGJD1sa8WPnPOPEJ0,17.0,0.49,0.754,2.0,-7.735,1.0,0.035,0.0625,4.58e-06,0.0957,0.251,134.984,208444.0,4.0,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,TrentonRise Above
Lexie Carroll,0j3JsMUkjmRIqTi1xQ5dp0,41.0,[unknown],violet,3UnbnPEYcvY0gwycGkbMH4,violet,3ChrPssbVddcgfmH8X3qeV,47.0,0.641,0.895,0.0,-6.861,1.0,0.0374,0.149,0.00107,0.118,0.587,134.998,178113.0,4.0,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Lexie Carrollviolet
BROCKHOFF,5ZeRq1tqf4t8fcdFdjmlQZ,24.0,[unknown],Sharks,6f2DJDgxBufS0JVEcHUDhL,Sharks,4QZa3y2uKeSl92MkYKZLlf,28.0,0.499,0.806,2.0,-7.753,1.0,0.0285,7.76e-05,0.679,0.0665,0.61,141.966,168970.0,4.0,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,BROCKHOFFSharks
Billy Otto,68K7z2GTeiBnNteSfDGOzH,32.0,[louvor],The Sound,50jRcIAV0HWGR0AZVPTTFa,The Sound,0bFVyRatUa939tKUNu7Ttv,30.0,0.643,0.865,7.0,-5.425,1.0,0.0396,0.0352,2.42e-05,0.169,0.682,105.007,192015.0,4.0,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Billy OttoThe Sound
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0.0,[unknown],Indie / Rock / Alt Compilation: March 2023,2jYAyFnU1j39P7dQ5vhE7u,Martyr,0nADxzVersmY7rZacvO6CA,9.0,0.559,0.511,2.0,-5.115,1.0,0.026,0.00876,0.0,0.0678,0.432,72.016,218616.0,4.0,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Various ArtistsMartyr
Mcclendon,6ZZrclkv0EliJYU6MlRkzD,15.0,[unknown],The Garden,2ph6Fu2boXXJBL7d3YFWGW,The Garden,1SuqZIgWaKFsQHZoqAYPph,25.0,0.518,0.822,11.0,-6.927,0.0,0.0518,0.0328,0.0191,0.279,0.755,77.439,194187.0,4.0,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,McclendonThe Garden
Michigander,0oL26Dn9y761yfJgNb3vfu,50.0,"[indie folk, indie rock, michigan indie, modern rock, stomp and holler]",Superglue,39IcaBkeuTzJQcNJ5Hi9CM,Superglue,5tTpyVtQuj1j8ZBnjn9WPC,45.0,0.527,0.882,5.0,-4.24,1.0,0.0491,0.00154,3.13e-05,0.125,0.336,139.004,250363.0,4.0,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,MichiganderSuperglue
Big Society,6YjRZJjNGLk7XwVyfWPaEF,18.0,[unknown],"A Quick One, While We're Waiting",2YD2BjSNnyxRgsLDawHnqp,Fading Fast,1BLiWBTIXadGXgUV79z9Dq,16.0,0.643,0.871,4.0,-5.383,1.0,0.0416,0.0404,0.844,0.0752,0.903,97.543,213424.0,4.0,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Big SocietyFading Fast
Paul Cook & The Chronicles,1KhLTOeAPRHmT16Mr72l7B,15.0,[unknown],Somebody Else,2qnjtP7wQE9aTAyNc6dkRJ,Somebody Else,6JoUxWzMwApE7qA7Ox8Lus,18.0,0.545,0.581,2.0,-5.427,1.0,0.0253,0.396,0.00288,0.121,0.533,125.019,172455.0,3.0,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic),alexrainbirdMusic,Paul Cook & The ChroniclesSomebody Else
